FEM4C - High Performance Finite Element Method in C
Analysis Results
=====================================

Analysis Title: Q4 Cantilever Beam
Date/Time:      2025-10-11 01:41:55
Input File:     input.dat

Problem Size:
  Number of nodes:     297
  Number of elements:  256
  Number of materials: 1
  Total DOF:           594

Nodal Displacements:
====================
Node      UX           UY           UZ
----  -----------  -----------  -----------
   1   0.0000e+00   0.0000e+00   0.0000e+00
   2  -8.4222e-08  -4.4844e-08   0.0000e+00
   3  -1.6449e-07  -1.2446e-07   0.0000e+00
   4  -2.4377e-07  -2.5552e-07   0.0000e+00
   5  -3.2032e-07  -4.3521e-07   0.0000e+00
   6  -3.9417e-07  -6.6195e-07   0.0000e+00
   7  -4.6532e-07  -9.3398e-07   0.0000e+00
   8  -5.3379e-07  -1.2496e-06   0.0000e+00
   9  -5.9958e-07  -1.6073e-06   0.0000e+00
  10  -6.6268e-07  -2.0052e-06   0.0000e+00
  11  -7.2310e-07  -2.4417e-06   0.0000e+00
  12  -7.8083e-07  -2.9151e-06   0.0000e+00
  13  -8.3588e-07  -3.4238e-06   0.0000e+00
  14  -8.8824e-07  -3.9660e-06   0.0000e+00
  15  -9.3791e-07  -4.5401e-06   0.0000e+00
  16  -9.8490e-07  -5.1444e-06   0.0000e+00
  17  -1.0292e-06  -5.7773e-06   0.0000e+00
  18  -1.0708e-06  -6.4370e-06   0.0000e+00
  19  -1.1098e-06  -7.1219e-06   0.0000e+00
  20  -1.1460e-06  -7.8303e-06   0.0000e+00
  21  -1.1796e-06  -8.5605e-06   0.0000e+00
  22  -1.2105e-06  -9.3108e-06   0.0000e+00
  23  -1.2387e-06  -1.0080e-05   0.0000e+00
  24  -1.2642e-06  -1.0865e-05   0.0000e+00
  25  -1.2870e-06  -1.1666e-05   0.0000e+00
  26  -1.3071e-06  -1.2480e-05   0.0000e+00
  27  -1.3246e-06  -1.3306e-05   0.0000e+00
  28  -1.3393e-06  -1.4142e-05   0.0000e+00
  29  -1.3514e-06  -1.4986e-05   0.0000e+00
  30  -1.3608e-06  -1.5837e-05   0.0000e+00
  31  -1.3675e-06  -1.6693e-05   0.0000e+00
  32  -1.3712e-06  -1.7553e-05   0.0000e+00
  33  -1.3722e-06  -1.8412e-05   0.0000e+00
  34   0.0000e+00   0.0000e+00   0.0000e+00
  35  -6.0224e-08  -3.4512e-08   0.0000e+00
  36  -1.2277e-07  -1.1630e-07   0.0000e+00
  37  -1.8195e-07  -2.4728e-07   0.0000e+00
  38  -2.3938e-07  -4.2733e-07   0.0000e+00
  39  -2.9476e-07  -6.5433e-07   0.0000e+00
  40  -3.4813e-07  -9.2665e-07   0.0000e+00
  41  -3.9948e-07  -1.2426e-06   0.0000e+00
  42  -4.4882e-07  -1.6005e-06   0.0000e+00
  43  -4.9615e-07  -1.9987e-06   0.0000e+00
  44  -5.4146e-07  -2.4355e-06   0.0000e+00
  45  -5.8476e-07  -2.9092e-06   0.0000e+00
  46  -6.2604e-07  -3.4181e-06   0.0000e+00
  47  -6.6531e-07  -3.9606e-06   0.0000e+00
