step,time,distance,angle,eq0_force_distance,eq1_force_distance,eq2_force_distance,eq0_force_angle,eq1_force_angle,eq2_force_angle,eq0_impulse,eq1_impulse,eq2_impulse,diagnostics_flags,condition_number,condition_number_spectral,condition_gap,min_eigenvalue,max_eigenvalue,active_equations,drop_events_step,drop_index_mask_step,drop_events_total,recovery_events_step,recovery_steps_step,recovery_events_total,pending_drop_count,max_pending_steps_running
0,0.000000,0.741983,0.340563,1.103642,0.000000,0.596638,-2.034814,0.000000,1.005898,-0.003267,0.000000,-0.002495,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,1,2,1,0,-1,0,1,0
1,0.003500,0.743636,0.336294,0.449532,0.000000,0.313640,-0.810678,0.000000,0.412937,-0.001473,0.000000,-0.000967,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,1
2,0.007000,0.744419,0.334277,0.132430,0.000000,0.160438,-0.223218,0.000000,0.123435,-0.000541,0.000000,-0.000238,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,2
3,0.010500,0.744792,0.333323,-0.017882,0.000000,0.087410,0.055100,0.000000,-0.013857,-0.000098,0.000000,0.000107,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,3
4,0.014000,0.744971,0.332872,-0.089060,0.000000,0.052793,0.186882,0.000000,-0.078883,0.000112,0.000000,0.000271,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,4
5,0.017500,0.745058,0.332659,-0.122770,0.000000,0.036372,0.249288,0.000000,-0.109692,0.000212,0.000000,0.000348,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,5
6,0.021000,0.745102,0.332559,-0.138743,0.000000,0.028565,0.278852,0.000000,-0.124303,0.000260,0.000000,0.000385,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,6
7,0.024500,0.745125,0.332512,-0.146318,0.000000,0.024836,0.292867,0.000000,-0.131246,0.000282,0.000000,0.000402,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,7
8,0.028000,0.745138,0.332491,-0.149918,0.000000,0.023037,0.299522,0.000000,-0.134558,0.000293,0.000000,0.000410,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,8
9,0.031500,0.745147,0.332481,-0.151636,0.000000,0.022153,0.302691,0.000000,-0.136152,0.000299,0.000000,0.000414,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,9
10,0.035000,0.745154,0.332477,-0.152464,0.000000,0.021702,0.304211,0.000000,-0.136931,0.000302,0.000000,0.000416,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,10
11,0.038500,0.745160,0.332476,-0.152869,0.000000,0.021455,0.304951,0.000000,-0.137326,0.000303,0.000000,0.000417,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,11
12,0.042000,0.745165,0.332476,-0.153075,0.000000,0.021306,0.305320,0.000000,-0.137538,0.000304,0.000000,0.000417,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,12
13,0.045500,0.745169,0.332477,-0.153186,0.000000,0.021202,0.305514,0.000000,-0.137663,0.000305,0.000000,0.000418,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,13
14,0.049000,0.745174,0.332478,-0.153252,0.000000,0.021121,0.305625,0.000000,-0.137748,0.000306,0.000000,0.000418,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,14
15,0.052500,0.745179,0.332479,-0.153297,0.000000,0.021050,0.305697,0.000000,-0.137813,0.000306,0.000000,0.000418,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,15
16,0.056000,0.745184,0.332480,-0.153332,0.000000,0.020984,0.305751,0.000000,-0.137869,0.000307,0.000000,0.000418,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,16
17,0.059500,0.745188,0.332481,-0.153363,0.000000,0.020920,0.305795,0.000000,-0.137921,0.000307,0.000000,0.000418,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,17
18,0.063000,0.745193,0.332482,-0.153390,0.000000,0.020858,0.305835,0.000000,-0.137970,0.000308,0.000000,0.000418,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,18
