step,time,distance,angle,eq0_force_distance,eq1_force_distance,eq2_force_distance,eq0_force_angle,eq1_force_angle,eq2_force_angle,eq0_impulse,eq1_impulse,eq2_impulse,diagnostics_flags,condition_number
0,0.000000,0.743724,0.339438,1.965371,-0.286882,1.460349,-2.291585,-0.014268,-0.786333,-0.002956,-0.008380,-0.001211,2,5.434659e+08
1,0.003500,0.746100,0.334104,0.749984,-0.051938,0.655598,-0.906741,0.005604,-0.287240,-0.001407,-0.003301,-0.000453,2,5.434659e+08
2,0.007000,0.747224,0.331388,0.149959,0.069165,0.265903,-0.224393,0.021299,-0.038112,-0.000694,-0.000810,-0.000077,2,5.434659e+08
3,0.010500,0.747741,0.330295,-0.097729,0.103480,0.080526,0.059639,0.011547,0.058205,-0.000269,0.000260,0.000073,2,5.434659e+08
4,0.014000,0.747984,0.329784,-0.222882,0.125525,-0.005795,0.202688,0.011767,0.108835,-0.000093,0.000788,0.000151,2,5.434659e+08
5,0.017500,0.748097,0.329544,-0.281529,0.135841,-0.046267,0.269725,0.011858,0.132554,-0.000011,0.001036,0.000187,2,5.434659e+08
6,0.021000,0.748151,0.329432,-0.309009,0.140669,-0.065241,0.301139,0.011895,0.143666,0.000028,0.001152,0.000204,2,5.434659e+08
7,0.024500,0.748175,0.329380,-0.321886,0.142928,-0.074136,0.315859,0.011909,0.148872,0.000046,0.001206,0.000212,2,5.434659e+08
8,0.028000,0.748187,0.329355,-0.327919,0.143986,-0.078305,0.322757,0.011916,0.151311,0.000054,0.001232,0.000215,2,5.434659e+08
9,0.031500,0.748193,0.329343,-0.330746,0.144482,-0.080258,0.325988,0.011919,0.152453,0.000058,0.001243,0.000217,2,5.434659e+08
10,0.035000,0.748195,0.329338,-0.332070,0.144714,-0.081172,0.327501,0.011920,0.152988,0.000060,0.001249,0.000218,2,5.434659e+08
11,0.038500,0.748196,0.329335,-0.332689,0.144824,-0.081599,0.328210,0.011922,0.153239,0.000061,0.001252,0.000218,2,5.434659e+08
12,0.042000,0.748197,0.329334,-0.332979,0.144876,-0.081797,0.328541,0.011923,0.153357,0.000061,0.001253,0.000219,2,5.434659e+08
13,0.045500,0.748197,0.329334,-0.333114,0.144901,-0.081889,0.328695,0.011925,0.153412,0.000061,0.001253,0.000219,2,5.434659e+08
14,0.049000,0.748197,0.329333,-0.333177,0.144913,-0.081930,0.328766,0.011926,0.153438,0.000062,0.001254,0.000219,2,5.434659e+08
15,0.052500,0.748197,0.329333,-0.333206,0.144920,-0.081947,0.328799,0.011927,0.153450,0.000062,0.001254,0.000219,2,5.434659e+08
16,0.056000,0.748197,0.329333,-0.333219,0.144924,-0.081954,0.328813,0.011929,0.153456,0.000062,0.001254,0.000219,2,5.434659e+08
17,0.059500,0.748197,0.329333,-0.333224,0.144926,-0.081955,0.328819,0.011930,0.153459,0.000062,0.001254,0.000219,2,5.434659e+08
18,0.063000,0.748197,0.329333,-0.333226,0.144928,-0.081955,0.328821,0.011932,0.153460,0.000062,0.001254,0.000219,2,5.434659e+08
19,0.066500,0.748197,0.329333,-0.333227,0.144929,-0.081952,0.328821,0.011933,0.153461,0.000062,0.001254,0.000219,2,5.434659e+08
20,0.070000,0.748197,0.329333,-0.333226,0.144931,-0.081950,0.328821,0.011935,0.153462,0.000062,0.001254,0.000219,2,5.434659e+08
21,0.073500,0.748197,0.329333,-0.333226,0.144932,-0.081947,0.328819,0.011936,0.153462,0.000062,0.001254,0.000219,2,5.434659e+08
22,0.077000,0.748197,0.329333,-0.333225,0.144934,-0.081944,0.328818,0.011937,0.153462,0.000062,0.001254,0.000219,2,5.434659e+08
23,0.080500,0.748197,0.329333,-0.333224,0.144935,-0.081941,0.328817,0.011939,0.153462,0.000062,0.001254,0.000219,2,5.434659e+08
24,0.084000,0.748197,0.329333,-0.333223,0.144936,-0.081938,0.328815,0.011940,0.153463,0.000062,0.001254,0.000219,2,5.434659e+08
25,0.087500,0.748197,0.329333,-0.333222,0.144937,-0.081935,0.328814,0.011941,0.153463,0.000061,0.001254,0.000219,2,5.434659e+08
26,0.091000,0.748197,0.329333,-0.333221,0.144939,-0.081932,0.328812,0.011943,0.153463,0.000061,0.001254,0.000219,2,5.434659e+08
27,0.094500,0.748197,0.329333,-0.333220,0.144940,-0.081929,0.328811,0.011944,0.153463,0.000061,0.001254,0.000219,2,5.434659e+08
28,0.098000,0.748197,0.329333,-0.333219,0.144941,-0.081926,0.328809,0.011945,0.153463,0.000061,0.001254,0.000219,2,5.434659e+08
29,0.101500,0.748197,0.329333,-0.333218,0.144942,-0.081924,0.328808,0.011947,0.153463,0.000061,0.001254,0.000219,2,5.434659e+08
30,0.105000,0.748197,0.329333,-0.333217,0.144943,-0.081921,0.328806,0.011948,0.153464,0.000061,0.001254,0.000219,2,5.434659e+08
31,0.108500,0.748197,0.329333,-0.333216,0.144945,-0.081918,0.328805,0.011949,0.153464,0.000061,0.001254,0.000219,2,5.434659e+08
32,0.112000,0.748197,0.329333,-0.333215,0.144946,-0.081915,0.328803,0.011951,0.153464,0.000061,0.001254,0.000219,2,5.434659e+08
33,0.115500,0.748197,0.329333,-0.333214,0.144947,-0.081912,0.328802,0.011952,0.153464,0.000061,0.001254,0.000219,2,5.434659e+08
34,0.119000,0.748197,0.329333,-0.333213,0.144948,-0.081909,0.328800,0.011953,0.153464,0.000061,0.001254,0.000219,2,5.434659e+08
35,0.122500,0.748197,0.329333,-0.333212,0.144949,-0.081907,0.328799,0.011955,0.153464,0.000061,0.001254,0.000219,2,5.434659e+08
36,0.126000,0.748197,0.329333,-0.333211,0.144951,-0.081904,0.328798,0.011956,0.153465,0.000061,0.001254,0.000219,2,5.434659e+08
37,0.129500,0.748197,0.329333,-0.333210,0.144952,-0.081901,0.328796,0.011957,0.153465,0.000061,0.001254,0.000219,2,5.434659e+08
38,0.133000,0.748197,0.329333,-0.333209,0.144953,-0.081898,0.328795,0.011958,0.153465,0.000061,0.001254,0.000219,2,5.434659e+08
39,0.136500,0.748197,0.329333,-0.333208,0.144954,-0.081896,0.328793,0.011960,0.153465,0.000061,0.001254,0.000219,2,5.434659e+08
40,0.140000,0.748197,0.329333,-0.333207,0.144955,-0.081893,0.328792,0.011961,0.153465,0.000061,0.001254,0.000219,2,5.434659e+08
41,0.143500,0.748197,0.329333,-0.333206,0.144956,-0.081890,0.328791,0.011962,0.153465,0.000061,0.001254,0.000219,2,5.434659e+08
42,0.147000,0.748197,0.329333,-0.333205,0.144957,-0.081887,0.328789,0.011963,0.153466,0.000061,0.001254,0.000219,2,5.434659e+08
43,0.150500,0.748197,0.329333,-0.333204,0.144959,-0.081885,0.328788,0.011965,0.153466,0.000061,0.001254,0.000219,2,5.434659e+08
44,0.154000,0.748197,0.329333,-0.333203,0.144960,-0.081882,0.328787,0.011966,0.153466,0.000061,0.001254,0.000219,2,5.434659e+08
45,0.157500,0.748197,0.329333,-0.333202,0.144961,-0.081880,0.328785,0.011967,0.153466,0.000061,0.001254,0.000219,2,5.434659e+08
46,0.161000,0.748197,0.329333,-0.333201,0.144962,-0.081877,0.328784,0.011968,0.153466,0.000061,0.001254,0.000219,2,5.434659e+08
47,0.164500,0.748197,0.329333,-0.333200,0.144963,-0.081874,0.328783,0.011969,0.153466,0.000061,0.001254,0.000219,2,5.434659e+08
48,0.168000,0.748197,0.329333,-0.333199,0.144964,-0.081872,0.328781,0.011971,0.153467,0.000061,0.001254,0.000219,2,5.434659e+08
49,0.171500,0.748197,0.329333,-0.333199,0.144965,-0.081869,0.328780,0.011972,0.153467,0.000061,0.001254,0.000219,2,5.434659e+08
50,0.175000,0.748197,0.329333,-0.333198,0.144966,-0.081867,0.328779,0.011973,0.153467,0.000061,0.001254,0.000219,2,5.434659e+08
51,0.178500,0.748197,0.329333,-0.333197,0.144967,-0.081864,0.328777,0.011974,0.153467,0.000061,0.001254,0.000219,2,5.434659e+08
52,0.182000,0.748197,0.329333,-0.333196,0.144968,-0.081862,0.328776,0.011975,0.153467,0.000061,0.001254,0.000219,2,5.434659e+08
53,0.185500,0.748197,0.329333,-0.333195,0.144969,-0.081859,0.328775,0.011976,0.153467,0.000061,0.001254,0.000219,2,5.434659e+08
54,0.189000,0.748197,0.329333,-0.333194,0.144971,-0.081857,0.328773,0.011978,0.153467,0.000061,0.001254,0.000219,2,5.434659e+08
55,0.192500,0.748197,0.329333,-0.333193,0.144972,-0.081854,0.328772,0.011979,0.153468,0.000061,0.001254,0.000219,2,5.434659e+08
56,0.196000,0.748197,0.329333,-0.333192,0.144973,-0.081852,0.328771,0.011980,0.153468,0.000061,0.001254,0.000219,2,5.434659e+08
57,0.199500,0.748197,0.329333,-0.333192,0.144974,-0.081849,0.328770,0.011981,0.153468,0.000061,0.001254,0.000219,2,5.434659e+08
58,0.203000,0.748197,0.329333,-0.333191,0.144975,-0.081847,0.328768,0.011982,0.153468,0.000061,0.001254,0.000219,2,5.434659e+08
59,0.206500,0.748197,0.329333,-0.333190,0.144976,-0.081844,0.328767,0.011983,0.153468,0.000061,0.001254,0.000219,2,5.434659e+08
60,0.210000,0.748197,0.329333,-0.333189,0.144977,-0.081842,0.328766,0.011984,0.153468,0.000061,0.001254,0.000219,2,5.434659e+08
61,0.213500,0.748197,0.329333,-0.333188,0.144978,-0.081840,0.328765,0.011985,0.153468,0.000061,0.001254,0.000219,2,5.434659e+08
62,0.217000,0.748197,0.329333,-0.333187,0.144979,-0.081837,0.328764,0.011986,0.153469,0.000061,0.001254,0.000219,2,5.434659e+08
63,0.220500,0.748197,0.329333,-0.333186,0.144980,-0.081835,0.328762,0.011988,0.153469,0.000061,0.001254,0.000219,2,5.434659e+08
64,0.224000,0.748197,0.329333,-0.333186,0.144981,-0.081832,0.328761,0.011989,0.153469,0.000061,0.001254,0.000219,2,5.434659e+08
65,0.227500,0.748197,0.329333,-0.333185,0.144982,-0.081830,0.328760,0.011990,0.153469,0.000061,0.001254,0.000219,2,5.434659e+08
66,0.231000,0.748197,0.329333,-0.333184,0.144983,-0.081828,0.328759,0.011991,0.153469,0.000061,0.001254,0.000219,2,5.434659e+08
67,0.234500,0.748197,0.329333,-0.333183,0.144984,-0.081825,0.328758,0.011992,0.153469,0.000061,0.001254,0.000219,2,5.434659e+08
68,0.238000,0.748197,0.329333,-0.333182,0.144985,-0.081823,0.328756,0.011993,0.153469,0.000061,0.001254,0.000219,2,5.434659e+08
69,0.241500,0.748197,0.329333,-0.333182,0.144986,-0.081821,0.328755,0.011994,0.153470,0.000061,0.001254,0.000219,2,5.434659e+08
70,0.245000,0.748197,0.329333,-0.333181,0.144987,-0.081819,0.328754,0.011995,0.153470,0.000061,0.001254,0.000219,2,5.434659e+08
71,0.248500,0.748197,0.329333,-0.333180,0.144987,-0.081816,0.328753,0.011996,0.153470,0.000061,0.001254,0.000219,2,5.434659e+08
72,0.252000,0.748197,0.329333,-0.333179,0.144988,-0.081814,0.328752,0.011997,0.153470,0.000061,0.001254,0.000219,2,5.434659e+08
73,0.255500,0.748197,0.329333,-0.333178,0.144989,-0.081812,0.328751,0.011998,0.153470,0.000061,0.001254,0.000219,2,5.434659e+08
74,0.259000,0.748197,0.329333,-0.333178,0.144990,-0.081810,0.328750,0.011999,0.153470,0.000061,0.001254,0.000219,2,5.434659e+08
75,0.262500,0.748197,0.329333,-0.333177,0.144991,-0.081808,0.328748,0.012000,0.153470,0.000061,0.001254,0.000219,2,5.434659e+08
76,0.266000,0.748197,0.329333,-0.333176,0.144992,-0.081805,0.328747,0.012001,0.153470,0.000061,0.001254,0.000219,2,5.434659e+08
77,0.269500,0.748197,0.329333,-0.333175,0.144993,-0.081803,0.328746,0.012002,0.153471,0.000061,0.001254,0.000219,2,5.434659e+08
78,0.273000,0.748197,0.329333,-0.333175,0.144994,-0.081801,0.328745,0.012003,0.153471,0.000061,0.001254,0.000219,2,5.434659e+08
79,0.276500,0.748197,0.329333,-0.333174,0.144995,-0.081799,0.328744,0.012004,0.153471,0.000061,0.001253,0.000219,2,5.434659e+08
80,0.280000,0.748197,0.329333,-0.333173,0.144996,-0.081797,0.328743,0.012005,0.153471,0.000061,0.001253,0.000219,2,5.434659e+08
81,0.283500,0.748197,0.329333,-0.333172,0.144997,-0.081795,0.328742,0.012006,0.153471,0.000061,0.001253,0.000219,2,5.434659e+08
82,0.287000,0.748197,0.329333,-0.333172,0.144998,-0.081792,0.328741,0.012007,0.153471,0.000061,0.001253,0.000219,2,5.434659e+08
83,0.290500,0.748197,0.329333,-0.333171,0.144998,-0.081790,0.328740,0.012008,0.153471,0.000061,0.001253,0.000219,2,5.434659e+08
84,0.294000,0.748197,0.329333,-0.333170,0.144999,-0.081788,0.328739,0.012009,0.153471,0.000061,0.001253,0.000219,2,5.434659e+08
85,0.297500,0.748197,0.329333,-0.333169,0.145000,-0.081786,0.328738,0.012010,0.153472,0.000061,0.001253,0.000219,2,5.434659e+08
86,0.301000,0.748197,0.329333,-0.333169,0.145001,-0.081784,0.328737,0.012011,0.153472,0.000061,0.001253,0.000219,2,5.434659e+08
87,0.304500,0.748197,0.329333,-0.333168,0.145002,-0.081782,0.328736,0.012012,0.153472,0.000061,0.001253,0.000219,2,5.434659e+08
88,0.308000,0.748197,0.329333,-0.333167,0.145003,-0.081780,0.328734,0.012013,0.153472,0.000061,0.001253,0.000219,2,5.434659e+08
89,0.311500,0.748197,0.329333,-0.333167,0.145004,-0.081778,0.328733,0.012014,0.153472,0.000061,0.001253,0.000219,2,5.434659e+08
90,0.315000,0.748197,0.329333,-0.333166,0.145004,-0.081776,0.328732,0.012014,0.153472,0.000061,0.001253,0.000219,2,5.434659e+08
91,0.318500,0.748196,0.329333,-0.333165,0.145005,-0.081774,0.328731,0.012015,0.153472,0.000061,0.001253,0.000219,2,5.434659e+08
92,0.322000,0.748196,0.329333,-0.333164,0.145006,-0.081772,0.328730,0.012016,0.153472,0.000061,0.001253,0.000219,2,5.434659e+08
93,0.325500,0.748196,0.329333,-0.333164,0.145007,-0.081770,0.328729,0.012017,0.153473,0.000061,0.001253,0.000219,2,5.434659e+08
94,0.329000,0.748196,0.329333,-0.333163,0.145008,-0.081768,0.328728,0.012018,0.153473,0.000061,0.001253,0.000219,2,5.434659e+08
95,0.332500,0.748196,0.329333,-0.333162,0.145009,-0.081766,0.328727,0.012019,0.153473,0.000061,0.001253,0.000219,2,5.434659e+08
96,0.336000,0.748196,0.329333,-0.333162,0.145009,-0.081764,0.328726,0.012020,0.153473,0.000061,0.001253,0.000219,2,5.434659e+08
97,0.339500,0.748196,0.329333,-0.333161,0.145010,-0.081762,0.328725,0.012021,0.153473,0.000061,0.001253,0.000219,2,5.434659e+08
98,0.343000,0.748196,0.329333,-0.333160,0.145011,-0.081760,0.328724,0.012022,0.153473,0.000061,0.001253,0.000219,2,5.434659e+08
99,0.346500,0.748196,0.329333,-0.333160,0.145012,-0.081759,0.328723,0.012023,0.153473,0.000061,0.001253,0.000219,2,5.434659e+08
100,0.350000,0.748196,0.329333,-0.333159,0.145013,-0.081757,0.328722,0.012023,0.153473,0.000061,0.001253,0.000219,2,5.434659e+08
101,0.353500,0.748196,0.329333,-0.333158,0.145013,-0.081755,0.328722,0.012024,0.153473,0.000061,0.001253,0.000219,2,5.434659e+08
102,0.357000,0.748196,0.329333,-0.333158,0.145014,-0.081753,0.328721,0.012025,0.153474,0.000061,0.001253,0.000219,2,5.434659e+08
103,0.360500,0.748196,0.329333,-0.333157,0.145015,-0.081751,0.328720,0.012026,0.153474,0.000061,0.001253,0.000219,2,5.434659e+08
104,0.364000,0.748196,0.329333,-0.333156,0.145016,-0.081749,0.328719,0.012027,0.153474,0.000061,0.001253,0.000219,2,5.434659e+08
105,0.367500,0.748196,0.329333,-0.333156,0.145017,-0.081747,0.328718,0.012028,0.153474,0.000061,0.001253,0.000219,2,5.434659e+08
106,0.371000,0.748196,0.329333,-0.333155,0.145017,-0.081746,0.328717,0.012029,0.153474,0.000061,0.001253,0.000219,2,5.434659e+08
107,0.374500,0.748196,0.329333,-0.333155,0.145018,-0.081744,0.328716,0.012029,0.153474,0.000061,0.001253,0.000219,2,5.434659e+08
108,0.378000,0.748196,0.329333,-0.333154,0.145019,-0.081742,0.328715,0.012030,0.153474,0.000061,0.001253,0.000219,2,5.434659e+08
109,0.381500,0.748196,0.329333,-0.333153,0.145020,-0.081740,0.328714,0.012031,0.153474,0.000061,0.001253,0.000219,2,5.434659e+08
110,0.385000,0.748196,0.329333,-0.333153,0.145020,-0.081738,0.328713,0.012032,0.153474,0.000061,0.001253,0.000219,2,5.434659e+08
111,0.388500,0.748196,0.329333,-0.333152,0.145021,-0.081737,0.328712,0.012033,0.153474,0.000061,0.001253,0.000219,2,5.434659e+08
112,0.392000,0.748196,0.329333,-0.333151,0.145022,-0.081735,0.328711,0.012033,0.153475,0.000061,0.001253,0.000219,2,5.434659e+08
113,0.395500,0.748196,0.329333,-0.333151,0.145023,-0.081733,0.328710,0.012034,0.153475,0.000061,0.001253,0.000219,2,5.434659e+08
114,0.399000,0.748196,0.329333,-0.333150,0.145023,-0.081731,0.328710,0.012035,0.153475,0.000061,0.001253,0.000219,2,5.434659e+08
115,0.402500,0.748196,0.329333,-0.333150,0.145024,-0.081730,0.328709,0.012036,0.153475,0.000061,0.001253,0.000219,2,5.434659e+08
116,0.406000,0.748196,0.329333,-0.333149,0.145025,-0.081728,0.328708,0.012037,0.153475,0.000061,0.001253,0.000219,2,5.434659e+08
117,0.409500,0.748196,0.329333,-0.333148,0.145026,-0.081726,0.328707,0.012037,0.153475,0.000061,0.001253,0.000219,2,5.434659e+08
118,0.413000,0.748196,0.329333,-0.333148,0.145026,-0.081724,0.328706,0.012038,0.153475,0.000061,0.001253,0.000219,2,5.434659e+08
119,0.416500,0.748196,0.329333,-0.333147,0.145027,-0.081723,0.328705,0.012039,0.153475,0.000061,0.001253,0.000219,2,5.434659e+08
120,0.420000,0.748196,0.329333,-0.333147,0.145028,-0.081721,0.328704,0.012040,0.153475,0.000061,0.001253,0.000219,2,5.434659e+08
121,0.423500,0.748196,0.329333,-0.333146,0.145028,-0.081719,0.328703,0.012040,0.153475,0.000061,0.001253,0.000219,2,5.434659e+08
122,0.427000,0.748196,0.329333,-0.333145,0.145029,-0.081718,0.328703,0.012041,0.153476,0.000061,0.001253,0.000219,2,5.434659e+08
123,0.430500,0.748196,0.329333,-0.333145,0.145030,-0.081716,0.328702,0.012042,0.153476,0.000061,0.001253,0.000219,2,5.434659e+08
124,0.434000,0.748196,0.329333,-0.333144,0.145030,-0.081714,0.328701,0.012043,0.153476,0.000060,0.001253,0.000219,2,5.434659e+08
125,0.437500,0.748196,0.329333,-0.333144,0.145031,-0.081713,0.328700,0.012044,0.153476,0.000060,0.001253,0.000219,2,5.434659e+08
126,0.441000,0.748196,0.329333,-0.333143,0.145032,-0.081711,0.328699,0.012044,0.153476,0.000060,0.001253,0.000219,2,5.434659e+08
127,0.444500,0.748196,0.329333,-0.333143,0.145033,-0.081710,0.328698,0.012045,0.153476,0.000060,0.001253,0.000219,2,5.434659e+08
128,0.448000,0.748196,0.329333,-0.333142,0.145033,-0.081708,0.328698,0.012046,0.153476,0.000060,0.001253,0.000219,2,5.434659e+08
129,0.451500,0.748196,0.329333,-0.333141,0.145034,-0.081706,0.328697,0.012046,0.153476,0.000060,0.001253,0.000219,2,5.434659e+08
130,0.455000,0.748196,0.329333,-0.333141,0.145035,-0.081705,0.328696,0.012047,0.153476,0.000060,0.001253,0.000219,2,5.434659e+08
131,0.458500,0.748196,0.329333,-0.333140,0.145035,-0.081703,0.328695,0.012048,0.153476,0.000060,0.001253,0.000219,2,5.434659e+08
132,0.462000,0.748196,0.329333,-0.333140,0.145036,-0.081702,0.328694,0.012049,0.153477,0.000060,0.001253,0.000219,2,5.434659e+08
133,0.465500,0.748196,0.329333,-0.333139,0.145037,-0.081700,0.328694,0.012049,0.153477,0.000060,0.001253,0.000219,2,5.434659e+08
134,0.469000,0.748196,0.329333,-0.333139,0.145037,-0.081699,0.328693,0.012050,0.153477,0.000060,0.001253,0.000219,2,5.434659e+08
135,0.472500,0.748196,0.329333,-0.333138,0.145038,-0.081697,0.328692,0.012051,0.153477,0.000060,0.001253,0.000219,2,5.434659e+08
136,0.476000,0.748196,0.329333,-0.333138,0.145038,-0.081696,0.328691,0.012051,0.153477,0.000060,0.001253,0.000219,2,5.434659e+08
137,0.479500,0.748196,0.329333,-0.333137,0.145039,-0.081694,0.328691,0.012052,0.153477,0.000060,0.001253,0.000219,2,5.434659e+08
138,0.483000,0.748196,0.329333,-0.333137,0.145040,-0.081693,0.328690,0.012053,0.153477,0.000060,0.001253,0.000219,2,5.434659e+08
139,0.486500,0.748196,0.329333,-0.333136,0.145040,-0.081691,0.328689,0.012054,0.153477,0.000060,0.001253,0.000219,2,5.434659e+08
140,0.490000,0.748196,0.329333,-0.333135,0.145041,-0.081690,0.328688,0.012054,0.153477,0.000060,0.001253,0.000219,2,5.434659e+08
141,0.493500,0.748196,0.329333,-0.333135,0.145042,-0.081688,0.328687,0.012055,0.153477,0.000060,0.001253,0.000219,2,5.434659e+08
142,0.497000,0.748196,0.329333,-0.333134,0.145042,-0.081687,0.328687,0.012056,0.153477,0.000060,0.001253,0.000219,2,5.434659e+08
143,0.500500,0.748196,0.329333,-0.333134,0.145043,-0.081685,0.328686,0.012056,0.153478,0.000060,0.001253,0.000219,2,5.434659e+08
144,0.504000,0.748196,0.329333,-0.333133,0.145043,-0.081684,0.328685,0.012057,0.153478,0.000060,0.001253,0.000219,2,5.434659e+08
145,0.507500,0.748196,0.329333,-0.333133,0.145044,-0.081682,0.328685,0.012058,0.153478,0.000060,0.001253,0.000219,2,5.434659e+08
146,0.511000,0.748196,0.329333,-0.333132,0.145045,-0.081681,0.328684,0.012058,0.153478,0.000060,0.001253,0.000219,2,5.434659e+08
147,0.514500,0.748196,0.329333,-0.333132,0.145045,-0.081679,0.328683,0.012059,0.153478,0.000060,0.001253,0.000219,2,5.434659e+08
148,0.518000,0.748196,0.329333,-0.333131,0.145046,-0.081678,0.328682,0.012060,0.153478,0.000060,0.001253,0.000219,2,5.434659e+08
149,0.521500,0.748196,0.329333,-0.333131,0.145046,-0.081677,0.328682,0.012060,0.153478,0.000060,0.001253,0.000219,2,5.434659e+08
150,0.525000,0.748196,0.329333,-0.333130,0.145047,-0.081675,0.328681,0.012061,0.153478,0.000060,0.001253,0.000219,2,5.434659e+08
151,0.528500,0.748196,0.329333,-0.333130,0.145048,-0.081674,0.328680,0.012061,0.153478,0.000060,0.001253,0.000219,2,5.434659e+08
152,0.532000,0.748196,0.329333,-0.333129,0.145048,-0.081672,0.328679,0.012062,0.153478,0.000060,0.001253,0.000219,2,5.434659e+08
153,0.535500,0.748196,0.329333,-0.333129,0.145049,-0.081671,0.328679,0.012063,0.153478,0.000060,0.001253,0.000219,2,5.434659e+08
154,0.539000,0.748196,0.329333,-0.333128,0.145049,-0.081670,0.328678,0.012063,0.153478,0.000060,0.001253,0.000219,2,5.434659e+08
155,0.542500,0.748196,0.329333,-0.333128,0.145050,-0.081668,0.328677,0.012064,0.153478,0.000060,0.001253,0.000219,2,5.434659e+08
156,0.546000,0.748196,0.329333,-0.333128,0.145051,-0.081667,0.328677,0.012065,0.153479,0.000060,0.001253,0.000219,2,5.434659e+08
157,0.549500,0.748196,0.329333,-0.333127,0.145051,-0.081666,0.328676,0.012065,0.153479,0.000060,0.001253,0.000219,2,5.434659e+08
158,0.553000,0.748196,0.329333,-0.333127,0.145052,-0.081664,0.328675,0.012066,0.153479,0.000060,0.001253,0.000219,2,5.434659e+08
159,0.556500,0.748196,0.329333,-0.333126,0.145052,-0.081663,0.328675,0.012066,0.153479,0.000060,0.001253,0.000219,2,5.434659e+08
160,0.560000,0.748196,0.329333,-0.333126,0.145053,-0.081662,0.328674,0.012067,0.153479,0.000060,0.001253,0.000219,2,5.434659e+08
161,0.563500,0.748196,0.329333,-0.333125,0.145053,-0.081660,0.328673,0.012068,0.153479,0.000060,0.001253,0.000219,2,5.434659e+08
162,0.567000,0.748196,0.329333,-0.333125,0.145054,-0.081659,0.328673,0.012068,0.153479,0.000060,0.001253,0.000219,2,5.434659e+08
163,0.570500,0.748196,0.329333,-0.333124,0.145054,-0.081658,0.328672,0.012069,0.153479,0.000060,0.001253,0.000219,2,5.434659e+08
164,0.574000,0.748196,0.329333,-0.333124,0.145055,-0.081656,0.328671,0.012069,0.153479,0.000060,0.001253,0.000219,2,5.434659e+08
165,0.577500,0.748196,0.329333,-0.333123,0.145056,-0.081655,0.328671,0.012070,0.153479,0.000060,0.001253,0.000219,2,5.434659e+08
166,0.581000,0.748196,0.329333,-0.333123,0.145056,-0.081654,0.328670,0.012071,0.153479,0.000060,0.001253,0.000219,2,5.434659e+08
167,0.584500,0.748196,0.329333,-0.333123,0.145057,-0.081653,0.328669,0.012071,0.153479,0.000060,0.001253,0.000219,2,5.434659e+08
168,0.588000,0.748196,0.329333,-0.333122,0.145057,-0.081651,0.328669,0.012072,0.153479,0.000060,0.001253,0.000219,2,5.434659e+08
169,0.591500,0.748196,0.329333,-0.333122,0.145058,-0.081650,0.328668,0.012072,0.153480,0.000060,0.001253,0.000219,2,5.434659e+08
170,0.595000,0.748196,0.329333,-0.333121,0.145058,-0.081649,0.328667,0.012073,0.153480,0.000060,0.001253,0.000219,2,5.434659e+08
171,0.598500,0.748196,0.329333,-0.333121,0.145059,-0.081648,0.328667,0.012073,0.153480,0.000060,0.001253,0.000219,2,5.434659e+08
172,0.602000,0.748196,0.329333,-0.333120,0.145059,-0.081646,0.328666,0.012074,0.153480,0.000060,0.001253,0.000219,2,5.434659e+08
