time,case,method,condition_bound,condition_spectral,min_pivot,max_pivot,vn,vt,mu_s,mu_d,stick
0.000000,optic_alignment_trim,actions,1.000000e+00,1.000000e+00,1.081625e+00,1.081625e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0
1.000000,tele_yaw_control,actions,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0
2.000000,cam_follow_adjust,actions,1.000000e+00,1.000000e+00,1.100000e+00,1.100000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0
3.000000,optic_alignment_trim_prismatic,actions,1.000000e+00,1.000000e+00,1.100000e+00,1.100000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0
4.000000,counterbalance_beam,actions,1.000000e+00,1.000000e+00,2.800000e-01,2.800000e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0
4.500000,mass_ratio_100,actions,1.000000e+00,1.000000e+00,1.000000e+02,1.000000e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0
5.000000,composite_planar_distance,actions,1.000000e+00,1.000000e+00,7.142857e+01,7.142857e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0
5.100000,composite_distance,actions,1.000000e+00,1.000000e+00,9.475219e+01,9.475219e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0
5.200000,composite_prismatic_distance,actions,1.000000e+00,1.000000e+00,9.980040e-01,9.980040e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0
5.300000,composite_prismatic_distance_aux,actions,1.000000e+00,1.000000e+00,8.999199e-01,8.999199e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0
5.400000,composite_planar_prismatic,actions,1.000000e+00,1.000000e+00,1.041103e+00,1.041103e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0
5.500000,composite_planar_prismatic_aux,actions,1.000000e+00,1.000000e+00,1.096124e+00,1.096124e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0
5.000000,hydraulic_lift_sync,actions,1.000000e+00,1.000000e+00,1.010664e+00,1.010664e+00,0.000000e+00,0.000000e+00,6.000000e-01,4.000000e-01,1
6.000000,hydraulic_lift_sync_slip,actions,5.000000e+00,5.000000e+00,2.021329e-01,1.010664e+00,0.000000e+00,-4.000000e-01,6.000000e-01,4.000000e-01,0
