step,time,distance,angle,eq0_force_distance,eq1_force_distance,eq2_force_distance,eq0_force_angle,eq1_force_angle,eq2_force_angle,eq0_impulse,eq1_impulse,eq2_impulse,diagnostics_flags,condition_number,condition_number_spectral,condition_gap,min_eigenvalue,max_eigenvalue,active_equations,drop_events_step,drop_index_mask_step,drop_events_total,recovery_events_step,recovery_steps_step,recovery_events_total,pending_drop_count,max_pending_steps_running
0,0.000000,0.741983,0.340563,1.103642,0.000000,0.596638,-2.034814,0.000000,1.005898,-0.003267,0.000000,-0.002495,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,1,2,1,0,-1,0,1,0
1,0.003500,0.743733,0.336189,0.420172,0.000000,0.278490,-0.764057,0.000000,0.383258,-0.001303,0.000000,-0.000915,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,1
2,0.007000,0.744558,0.334166,0.103561,0.000000,0.131110,-0.175374,0.000000,0.094769,-0.000392,0.000000,-0.000183,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,2
3,0.010500,0.744953,0.333235,-0.042641,0.000000,0.063055,0.096477,0.000000,-0.038503,0.000029,0.000000,0.000155,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,3
4,0.014000,0.745148,0.332811,-0.109687,0.000000,0.031850,0.221163,0.000000,-0.099676,0.000223,0.000000,0.000310,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,4
5,0.017500,0.745250,0.332623,-0.139971,0.000000,0.017760,0.277499,0.000000,-0.127362,0.000311,0.000000,0.000380,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,5
6,0.021000,0.745308,0.332545,-0.153184,0.000000,0.011619,0.302095,0.000000,-0.139496,0.000350,0.000000,0.000411,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,6
7,0.024500,0.745345,0.332516,-0.158473,0.000000,0.009171,0.311960,0.000000,-0.144410,0.000367,0.000000,0.000423,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,7
8,0.028000,0.745373,0.332512,-0.160087,0.000000,0.008437,0.314994,0.000000,-0.145974,0.000372,0.000000,0.000427,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,8
9,0.031500,0.745396,0.332518,-0.160000,0.000000,0.008497,0.314866,0.000000,-0.145987,0.000373,0.000000,0.000426,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,9
10,0.035000,0.745416,0.332529,-0.159130,0.000000,0.008926,0.313281,0.000000,-0.145283,0.000372,0.000000,0.000424,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,10
11,0.038500,0.745435,0.332542,-0.157901,0.000000,0.009524,0.311031,0.000000,-0.144250,0.000369,0.000000,0.000422,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,11
12,0.042000,0.745453,0.332556,-0.156512,0.000000,0.010200,0.308484,0.000000,-0.143070,0.000366,0.000000,0.000418,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,12
13,0.045500,0.745471,0.332570,-0.155055,0.000000,0.010912,0.305810,0.000000,-0.141824,0.000363,0.000000,0.000415,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,13
14,0.049000,0.745487,0.332584,-0.153572,0.000000,0.011638,0.303088,0.000000,-0.140552,0.000360,0.000000,0.000412,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,14
15,0.052500,0.745504,0.332598,-0.152083,0.000000,0.012370,0.300355,0.000000,-0.139273,0.000356,0.000000,0.000408,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,15
16,0.056000,0.745519,0.332612,-0.150597,0.000000,0.013104,0.297629,0.000000,-0.137994,0.000353,0.000000,0.000405,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,16
17,0.059500,0.745534,0.332626,-0.149119,0.000000,0.013837,0.294917,0.000000,-0.136719,0.000350,0.000000,0.000401,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,17
